column,unit,format,description
file,,,DJA filename
srcid,,,Source ID from APT plan
ra,deg,.8f,RA from APT plan
dec,deg,.8f,Dec from APT plan
grating,,,NIRSpec grating
filter,,,Blocking filter
effexptm,,,Effective exposure time of each exposure
nfiles,,,Number of files combined in final spectrum
dataset,,,Filename of first exposure
msamet,,,MSA metadata file
msaid,,,MSA metadata ID
msacnf,,,MSA metadata config
dithn,,,Dither number
slitid,,,MSA plan slit ID
root,,,DJA program + mask rootname
npix,,,Number of pixels in the 2D spectrum
ndet,,,Number of detectors contributing to output
wmin,micron,,Minimum wavelength of the combined spectrum
wmax,micron,,Maximum wavelength of the combined spectrum
wmaxsn,micron,,Wavelength of maximum signal to noise
sn10,,,10th percentile SN
flux10,,,Flux at sn10
err10,,,Uncertainty at sn50
sn50,,,50th percentile SN
flux50,,,Flux at sn50
err50,,,Uncertainty at sn90
sn90,,,90th percentile SN
flux90,,,Flux at sn90
err90,,,Uncertainty at sn90
xstart,,,Starting detector x coordinate of 2D cutout
ystart,,,Starting detector y coordinate of 2D cutout
xsize,,,x size of 2D cutout
ysize,,,y size of 2D cutout
slit_pa,,,Estimated PA of the slitlet
pa_v3,,,Estimated PA of the spacecraft V3 axis
srcypix,,,Location of the source in the 2D spectrum
profcen,,,Profile offset relative to the expected center
profsig,,,Derived profile width in pixels added to PSF
ctime,,,UNIX time when file was generated
version,,,MSAEXP code version
exptime,,,Estimated total exposure time
contchi2,,,Chi2 of the spline continuum fit
dof,,,Total number of pixels in the redshift + line fit
fullchi2,,,Chi2 of the full continuum + line fit
line_ariii_7138,,,Line flux of ariii_7138 1e-20 erg/s/cm2
line_ariii_7138_err,,,
line_ariii_7753,,,Line flux of ariii_7753 1e-20 erg/s/cm2
line_ariii_7753_err,,,
line_bra,,,Line flux of bra 1e-20 erg/s/cm2
line_bra_err,,,
line_brb,,,Line flux of brb 1e-20 erg/s/cm2
line_brb_err,,,
line_brd,,,Line flux of brd 1e-20 erg/s/cm2
line_brd_err,,,
line_brg,,,Line flux of brg 1e-20 erg/s/cm2
line_brg_err,,,
line_hb,,,Line flux of hb 1e-20 erg/s/cm2
line_hb_err,,,
line_hd,,,Line flux of hd 1e-20 erg/s/cm2
line_hd_err,,,
line_hei_1083,,,Line flux of hei_1083 1e-20 erg/s/cm2
line_hei_1083_err,,,
line_hei_3889,,,Line flux of hei_3889 1e-20 erg/s/cm2
line_hei_3889_err,,,
line_hei_5877,,,Line flux of hei_5877 1e-20 erg/s/cm2
line_hei_5877_err,,,
line_hei_7065,,,Line flux of hei_7065 1e-20 erg/s/cm2
line_hei_7065_err,,,
line_hei_8446,,,Line flux of hei_8446 1e-20 erg/s/cm2
line_hei_8446_err,,,
line_heii_4687,,,Line flux of heii_4687 1e-20 erg/s/cm2
line_heii_4687_err,,,
line_hg,,,Line flux of hg 1e-20 erg/s/cm2
line_hg_err,,,
line_lya,,,Line flux of lya 1e-20 erg/s/cm2
line_lya_err,,,
line_mgii,,,Line flux of mgii 1e-20 erg/s/cm2
line_mgii_err,,,
line_neiii_3867,,,Line flux of neiii_3867 1e-20 erg/s/cm2
line_neiii_3867_err,,,
line_neiii_3968,,,Line flux of neiii_3968 1e-20 erg/s/cm2
line_neiii_3968_err,,,
line_nev_3346,,,Line flux of nev_3346 1e-20 erg/s/cm2
line_nev_3346_err,,,
line_nevi_3426,,,Line flux of nevi_3426 1e-20 erg/s/cm2
line_nevi_3426_err,,,
line_niii_1750,,,Line flux of niii_1750 1e-20 erg/s/cm2
line_niii_1750_err,,,
line_oi_6302,,,Line flux of oi_6302 1e-20 erg/s/cm2
line_oi_6302_err,,,
line_oii,,,Line flux of oii 1e-20 erg/s/cm2
line_oii_7325,,,Line flux of oii_7325 1e-20 erg/s/cm2
line_oii_7325_err,,,
line_oii_err,,,
line_oiii,,,Line flux of combined OIII 4959+5007 1e-20 erg/s/cm2/A
line_oiii_1663,,,Line flux of oiii_1663 1e-20 erg/s/cm2
line_oiii_1663_err,,,
line_oiii_4363,,,Line flux of oiii_4363 1e-20 erg/s/cm2
line_oiii_4363_err,,,
line_oiii_4959,,,Line flux of oiii_4959 1e-20 erg/s/cm2
line_oiii_4959_err,,,
line_oiii_5007,,,Line flux of oiii_5007 1e-20 erg/s/cm2
line_oiii_5007_err,,,
line_oiii_err,,,
line_pa10,,,Line flux of pa10 1e-20 erg/s/cm2
line_pa10_err,,,
line_pa8,,,Line flux of pa8 1e-20 erg/s/cm2
line_pa8_err,,,
line_pa9,,,Line flux of pa9 1e-20 erg/s/cm2
line_pa9_err,,,
line_paa,,,Line flux of paa 1e-20 erg/s/cm2
line_paa_err,,,
line_pab,,,Line flux of pab 1e-20 erg/s/cm2
line_pab_err,,,
line_pad,,,Line flux of pad 1e-20 erg/s/cm2
line_pad_err,,,
line_pag,,,Line flux of pag 1e-20 erg/s/cm2
line_pag_err,,,
line_pfb,,,Line flux of pfb 1e-20 erg/s/cm2
line_pfb_err,,,
line_pfd,,,Line flux of pfd 1e-20 erg/s/cm2
line_pfd_err,,,
line_pfe,,,Line flux of pfe 1e-20 erg/s/cm2
line_pfe_err,,,
line_pfg,,,Line flux of pfg 1e-20 erg/s/cm2
line_pfg_err,,,
line_sii,,,Line flux of sii 1e-20 erg/s/cm2
line_sii_err,,,
line_siii_9068,,,Line flux of siii_9068 1e-20 erg/s/cm2
line_siii_9068_err,,,
line_siii_9531,,,Line flux of siii_9531 1e-20 erg/s/cm2
line_siii_9531_err,,,
spl_0,,,Spline continuum coefficient 0
spl_0_err,,,
spl_1,,,Spline continuum coefficient 1
spl_10,,,Spline continuum coefficient 10
spl_10_err,,,
spl_11,,,Spline continuum coefficient 11
spl_11_err,,,
spl_12,,,Spline continuum coefficient 12
spl_12_err,,,
spl_13,,,Spline continuum coefficient 13
spl_13_err,,,
spl_14,,,Spline continuum coefficient 14
spl_14_err,,,
spl_15,,,Spline continuum coefficient 15
spl_15_err,,,
spl_16,,,Spline continuum coefficient 16
spl_16_err,,,
spl_17,,,Spline continuum coefficient 17
spl_17_err,,,
spl_18,,,Spline continuum coefficient 18
spl_18_err,,,
spl_19,,,Spline continuum coefficient 19
spl_19_err,,,
spl_1_err,,,
spl_2,,,Spline continuum coefficient 2
spl_20,,,Spline continuum coefficient 20
spl_20_err,,,
spl_21,,,Spline continuum coefficient 21
spl_21_err,,,
spl_22,,,Spline continuum coefficient 22
spl_22_err,,,
spl_2_err,,,
spl_3,,,Spline continuum coefficient 3
spl_3_err,,,
