ID	RAdeg	DECdeg	age	age_err16	age_err84	met	met_err16	met_err84	afe	afe_err16	afe_err84
133240	2.36248	150.16150	3.080	0.635	0.643	0.257	0.090	0.121	0.162	0.059	0.065
133783	2.36843	150.27902	1.904	0.081	0.073	0.333	0.030	0.055	0.142	0.028	0.027
134169	2.37240	150.29889	2.793	0.357	0.357	0.161	0.071	0.076	0.242	0.051	0.052
139772	2.43942	150.26686	3.047	0.120	0.138	0.120	0.021	0.025	0.227	0.025	0.028
205742	2.46064	150.08876	3.070	0.268	0.392	-0.009	0.039	0.058	0.036	0.026	0.034
206573	2.46977	150.26717	3.304	0.192	0.290	-0.016	0.025	0.017	0.280	0.027	0.028
207825	2.48870	150.29466	1.937	0.071	0.119	0.162	0.052	0.015	0.155	0.017	0.016
208622	2.50077	150.13893	3.677	0.760	0.994	-0.187	0.080	0.075	0.046	0.090	0.088
210210	2.51784	150.14812	3.052	0.114	0.155	0.017	0.020	0.014	0.219	0.018	0.018
94494	2.32862	150.38467	4.667	0.485	0.568	-0.237	0.037	0.033	0.283	0.041	0.045
131869	2.34680	150.23157	2.637	0.431	0.569	-0.129	0.080	0.102	0.037	0.061	0.075
133501	2.36306	150.20291	1.627	0.117	0.137	-0.156	0.150	0.107	-0.195	0.038	0.033
139662	2.44046	150.23232	2.494	0.316	0.398	0.371	0.064	0.068	0.246	0.042	0.041
208364	2.49771	150.18863	2.951	0.367	0.439	-0.061	0.050	0.084	0.195	0.056	0.057
210940	2.52810	150.17291	3.406	1.021	1.367	-0.050	0.111	0.188	0.160	0.107	0.119
107362	2.03834	150.12547	4.823	0.928	0.750	-0.102	0.051	0.067	0.235	0.064	0.058
108361	2.05336	150.28709	4.210	0.389	0.509	0.096	0.046	0.046	0.291	0.042	0.043
109352	2.06395	150.10892	3.931	0.624	0.535	-0.164	0.048	0.050	0.080	0.061	0.060
109713	2.06936	150.14252	4.216	0.496	0.465	-0.176	0.039	0.038	0.111	0.050	0.053
119474	2.19362	150.09239	4.054	0.149	0.327	0.105	0.033	0.025	0.225	0.025	0.028
119700	2.19896	150.25838	2.116	0.205	0.301	0.225	0.061	0.061	0.057	0.049	0.047
119802	2.19792	150.10361	3.231	0.404	0.496	-0.091	0.045	0.055	0.118	0.058	0.055
120308	2.20370	150.09563	3.272	0.410	0.479	-0.057	0.042	0.055	0.256	0.047	0.047
80755	2.11978	150.37038	2.136	0.204	0.267	0.189	0.040	0.053	0.192	0.042	0.040
107643	2.04409	150.18550	3.393	0.774	0.892	0.103	0.073	0.092	0.119	0.078	0.097
108989	2.05775	150.21844	4.028	0.563	0.642	0.067	0.071	0.066	0.060	0.045	0.047
