col0 col1 col2
3000.0 0.20261 0.11687
3000.6 0.21723 0.07906
3001.2 0.09201 0.05531
3001.7999999999997 0.25072 0.00838
3002.3999999999996 0.22280 0.10406
3002.9999999999995 0.20471 0.07590
3003.5999999999995 0.23933 0.02022
3004.1999999999994 0.26151 0.10192
3004.7999999999993 0.10814 0.05281
3005.399999999999 0.24087 0.15847
3005.999999999999 0.23224 0.13766
3006.599999999999 0.32975 0.01266
3007.199999999999 0.30417 0.05765
3007.799999999999 0.27124 0.00296
3008.3999999999987 0.18096 0.10783
3008.9999999999986 0.26741 0.08971
3009.5999999999985 0.36505 0.00949
3010.1999999999985 0.24631 0.06371
3010.7999999999984 0.20047 0.01698
3011.3999999999983 0.22185 0.02630
3011.999999999998 0.29089 0.11802
3012.599999999998 0.30799 0.00050
3013.199999999998 0.12801 0.09965
3013.799999999998 0.24308 0.03238
3014.399999999998 0.26893 0.06199
3014.9999999999977 0.18366 0.01438
3015.5999999999976 0.29536 0.03396
3016.1999999999975 0.33533 0.05113
3016.7999999999975 0.35009 0.12662
3017.3999999999974 0.21217 0.04582
3017.9999999999973 0.25462 0.00514
3018.599999999997 0.28515 0.00640
3019.199999999997 0.25464 0.00996
3019.799999999997 0.20042 0.01522
3020.399999999997 0.13599 0.01478
3020.999999999997 0.27066 0.04278
3021.5999999999967 0.17424 0.05293
3022.1999999999966 0.24699 0.03282
3022.7999999999965 0.29167 0.04841
3023.3999999999965 0.24313 0.07018
3023.9999999999964 0.29116 0.04740
3024.5999999999963 0.29246 0.02293
3025.199999999996 0.24586 0.03481
3025.799999999996 0.36278 0.07405
3026.399999999996 0.34799 0.04605
3026.999999999996 0.27236 0.03905
3027.599999999996 0.33586 0.05489
3028.1999999999957 0.38155 0.02134
3028.7999999999956 0.30829 0.00742
3029.3999999999955 0.32609 0.07013
3029.9999999999955 0.39948 0.07742
3030.5999999999954 0.33931 0.04264
3031.1999999999953 0.26733 0.01354
3031.799999999995 0.24510 0.02695
3032.399999999995 0.23500 0.04369
3032.999999999995 0.42170 0.02968
3033.599999999995 0.42999 0.01409
3034.199999999995 0.35277 0.06446
3034.7999999999947 0.34502 0.07584
3035.3999999999946 0.43525 0.02988
3035.9999999999945 0.34806 0.06379
3036.5999999999945 0.40032 0.04312
3037.1999999999944 0.33344 0.10338
3037.7999999999943 0.32783 0.03041
3038.399999999994 0.42819 0.07404
3038.999999999994 0.37442 0.08021
3039.599999999994 0.28995 0.03021
3040.199999999994 0.29078 0.03283
3040.799999999994 0.30636 0.03344
3041.3999999999937 0.35266 0.06596
3041.9999999999936 0.35315 0.07286
3042.5999999999935 0.36430 0.04489
3043.1999999999935 0.33974 0.04328
3043.7999999999934 0.29634 0.00792
3044.3999999999933 0.31883 0.00510
3044.999999999993 0.30474 0.02063
3045.599999999993 0.32020 0.04179
3046.199999999993 0.24963 0.05642
3046.799999999993 0.26178 0.03004
3047.399999999993 0.32610 0.02293
3047.9999999999927 0.33228 0.06559
3048.5999999999926 0.31518 0.03302
3049.1999999999925 0.31581 0.05407
3049.7999999999925 0.32750 0.02178
3050.3999999999924 0.40749 0.05066
3050.9999999999923 0.40369 0.01046
3051.599999999992 0.33747 0.02760
3052.199999999992 0.42376 0.08646
3052.799999999992 0.35392 0.01503
3053.399999999992 0.29832 0.05238
3053.999999999992 0.34003 0.03429
3054.5999999999917 0.39264 0.01145
3055.1999999999916 0.26800 0.02509
3055.7999999999915 0.33824 0.01579
3056.3999999999915 0.32286 0.04539
3056.9999999999914 0.26149 0.00685
3057.5999999999913 0.29838 0.04011
3058.199999999991 0.31030 0.02588
3058.799999999991 0.25603 0.00109
3059.399999999991 0.31178 0.02161
3059.999999999991 0.27032 0.02442
3060.599999999991 0.27716 0.04214
3061.1999999999907 0.33428 0.02027
3061.7999999999906 0.26491 0.03557
3062.3999999999905 0.29987 0.03397
3062.9999999999905 0.30050 0.01480
3063.5999999999904 0.31115 0.01229
3064.1999999999903 0.28370 0.03673
3064.79999999999 0.28163 0.04575
3065.39999999999 0.28675 0.01886
3065.99999999999 0.24683 0.02439
3066.59999999999 0.27774 0.03461
3067.19999999999 0.32676 0.05615
3067.7999999999897 0.28096 0.03667
3068.3999999999896 0.22981 0.01942
3068.9999999999895 0.31221 0.04017
3069.5999999999894 0.27922 0.01426
3070.1999999999894 0.36310 0.02771
3070.7999999999893 0.34762 0.03036
3071.399999999989 0.31367 0.05697
3071.999999999989 0.34346 0.02399
3072.599999999989 0.31197 0.01330
3073.199999999989 0.36583 0.01716
3073.799999999989 0.32731 0.01314
3074.3999999999887 0.36834 0.02350
3074.9999999999886 0.30227 0.03376
3075.5999999999885 0.33621 0.02210
3076.1999999999884 0.35124 0.02092
3076.7999999999884 0.31533 0.03126
3077.3999999999883 0.33358 0.02119
3077.999999999988 0.35630 0.04462
3078.599999999988 0.33375 0.00855
3079.199999999988 0.37736 0.01578
3079.799999999988 0.36236 0.03964
3080.399999999988 0.32776 0.01728
3080.9999999999877 0.28294 0.00853
3081.5999999999876 0.32852 0.01734
3082.1999999999875 0.37092 0.02826
3082.7999999999874 0.33146 0.01466
3083.3999999999874 0.34792 0.01093
3083.9999999999873 0.38836 0.01758
3084.599999999987 0.37941 0.01712
3085.199999999987 0.35054 0.03752
3085.799999999987 0.34385 0.01091
3086.399999999987 0.33427 0.03783
3086.999999999987 0.34429 0.02595
3087.5999999999867 0.33673 0.02805
3088.1999999999866 0.36286 0.01036
3088.7999999999865 0.32913 0.01270
3089.3999999999864 0.28446 0.02712
3089.9999999999864 0.32570 0.02553
3090.5999999999863 0.31036 0.00843
3091.199999999986 0.27404 0.01411
3091.799999999986 0.31340 0.01072
3092.399999999986 0.31804 0.02023
3092.999999999986 0.32544 0.02670
3093.599999999986 0.28532 0.01562
3094.1999999999857 0.30027 0.02378
3094.7999999999856 0.26426 0.02339
3095.3999999999855 0.28946 0.01476
3095.9999999999854 0.34188 0.03091
3096.5999999999854 0.25309 0.03478
3097.1999999999853 0.26233 0.03155
3097.799999999985 0.30735 0.01892
3098.399999999985 0.26859 0.02141
3098.999999999985 0.30291 0.01900
3099.599999999985 0.29330 0.01152
3100.199999999985 0.26696 0.01686
3100.7999999999847 0.28546 0.01379
3101.3999999999846 0.28321 0.04272
3101.9999999999845 0.30610 0.03779
3102.5999999999844 0.30165 0.02475
3103.1999999999844 0.35884 0.02249
3103.7999999999843 0.27393 0.02480
3104.399999999984 0.37148 0.02270
3104.999999999984 0.36697 0.01377
3105.599999999984 0.34368 0.02291
3106.199999999984 0.36537 0.02166
3106.799999999984 0.34400 0.02965
3107.3999999999837 0.35482 0.02090
3107.9999999999836 0.30149 0.03378
3108.5999999999835 0.37040 0.01484
3109.1999999999834 0.37240 0.03214
3109.7999999999834 0.34185 0.03232
3110.3999999999833 0.38047 0.02383
3110.999999999983 0.38942 0.01725
3111.599999999983 0.39507 0.01095
3112.199999999983 0.35040 0.01863
3112.799999999983 0.35634 0.03597
3113.399999999983 0.36253 0.03088
3113.9999999999827 0.39198 0.01679
3114.5999999999826 0.37588 0.01439
3115.1999999999825 0.37133 0.01705
3115.7999999999824 0.30728 0.01347
3116.3999999999824 0.30923 0.04106
3116.9999999999823 0.35844 0.02351
3117.599999999982 0.32105 0.01944
3118.199999999982 0.34932 0.02069
3118.799999999982 0.34382 0.01448
3119.399999999982 0.29429 0.03034
3119.999999999982 0.32323 0.02367
3120.5999999999817 0.33035 0.02287
3121.1999999999816 0.34287 0.01854
3121.7999999999815 0.30819 0.01021
3122.3999999999814 0.25007 0.03433
3122.9999999999814 0.35831 0.02890
3123.5999999999813 0.32564 0.02437
3124.199999999981 0.30044 0.01585
3124.799999999981 0.36328 0.01901
3125.399999999981 0.31289 0.02627
3125.999999999981 0.27328 0.02043
3126.599999999981 0.31374 0.01286
3127.1999999999807 0.31324 0.02282
3127.7999999999806 0.37351 0.02900
3128.3999999999805 0.33003 0.02660
3128.9999999999804 0.35811 0.02257
3129.5999999999804 0.35231 0.01428
3130.1999999999803 0.30819 0.03278
3130.79999999998 0.30681 0.01510
3131.39999999998 0.32411 0.01674
3131.99999999998 0.32322 0.01861
3132.59999999998 0.32051 0.00981
3133.19999999998 0.31847 0.01603
3133.7999999999797 0.37603 0.01789
3134.3999999999796 0.35660 0.02371
3134.9999999999795 0.33976 0.01806
3135.5999999999794 0.33961 0.01457
3136.1999999999794 0.32043 0.02574
3136.7999999999793 0.32563 0.02723
3137.399999999979 0.34773 0.01366
3137.999999999979 0.33422 0.01959
3138.599999999979 0.34039 0.02218
3139.199999999979 0.38729 0.01879
3139.799999999979 0.35637 0.01895
3140.3999999999787 0.40076 0.01051
3140.9999999999786 0.39120 0.01921
3141.5999999999785 0.35777 0.01406
3142.1999999999784 0.33221 0.01308
3142.7999999999784 0.30181 0.01774
3143.3999999999783 0.31710 0.01322
3143.999999999978 0.30918 0.01439
3144.599999999978 0.30843 0.01463
3145.199999999978 0.33732 0.01072
3145.799999999978 0.32360 0.01909
3146.399999999978 0.31546 0.01101
3146.9999999999777 0.28366 0.01742
3147.5999999999776 0.32397 0.01347
3148.1999999999775 0.30685 0.01710
3148.7999999999774 0.33467 0.02013
3149.3999999999774 0.31303 0.01619
3149.9999999999773 0.30830 0.01367
3150.599999999977 0.34823 0.03199
3151.199999999977 0.33897 0.02162
3151.799999999977 0.35951 0.01300
3152.399999999977 0.34323 0.02348
3152.999999999977 0.34350 0.02446
3153.5999999999767 0.34150 0.01825
3154.1999999999766 0.34176 0.00927
3154.7999999999765 0.35905 0.01770
3155.3999999999764 0.34456 0.03117
3155.9999999999764 0.25508 0.01455
3156.5999999999763 0.31794 0.01494
3157.199999999976 0.28183 0.01310
3157.799999999976 0.28985 0.01795
3158.399999999976 0.29998 0.01726
3158.999999999976 0.23376 0.01930
3159.599999999976 0.24235 0.01447
3160.1999999999757 0.26046 0.02168
3160.7999999999756 0.26267 0.02053
3161.3999999999755 0.26190 0.02180
3161.9999999999754 0.29561 0.01366
3162.5999999999754 0.31045 0.01094
3163.1999999999753 0.25677 0.01220
3163.799999999975 0.28840 0.01390
3164.399999999975 0.32265 0.01603
3164.999999999975 0.29697 0.01924
3165.599999999975 0.37291 0.01696
3166.199999999975 0.31984 0.01901
3166.7999999999747 0.35063 0.01376
3167.3999999999746 0.30967 0.02225
3167.9999999999745 0.32312 0.01237
3168.5999999999744 0.37454 0.01261
3169.1999999999744 0.37273 0.01952
3169.7999999999743 0.36559 0.01357
3170.399999999974 0.39241 0.01480
3170.999999999974 0.34938 0.01148
3171.599999999974 0.37125 0.01915
3172.199999999974 0.42933 0.01794
3172.799999999974 0.38113 0.01767
3173.3999999999737 0.37316 0.01565
3173.9999999999736 0.34649 0.02256
3174.5999999999735 0.37280 0.01969
3175.1999999999734 0.37874 0.01079
3175.7999999999734 0.41005 0.01002
3176.3999999999733 0.37556 0.01980
3176.999999999973 0.34062 0.02607
3177.599999999973 0.36122 0.02253
3178.199999999973 0.36517 0.01745
3178.799999999973 0.34887 0.01398
3179.399999999973 0.33463 0.01656
3179.9999999999727 0.29053 0.02863
3180.5999999999726 0.30050 0.01722
3181.1999999999725 0.32205 0.01661
3181.7999999999724 0.29212 0.01541
3182.3999999999724 0.28592 0.02287
3182.9999999999723 0.32949 0.01656
3183.599999999972 0.31568 0.01873
3184.199999999972 0.28588 0.01731
3184.799999999972 0.28502 0.02217
3185.399999999972 0.32942 0.01683
3185.999999999972 0.31649 0.02613
3186.5999999999717 0.30364 0.02887
3187.1999999999716 0.35826 0.01861
3187.7999999999715 0.35519 0.01464
3188.3999999999714 0.36705 0.02524
3188.9999999999714 0.38682 0.01486
3189.5999999999713 0.36085 0.01413
3190.199999999971 0.31140 0.02223
3190.799999999971 0.35320 0.01666
3191.399999999971 0.30552 0.02428
3191.999999999971 0.33170 0.01265
3192.599999999971 0.28782 0.01597
3193.1999999999707 0.31386 0.00965
3193.7999999999706 0.30762 0.01574
3194.3999999999705 0.32501 0.02090
3194.9999999999704 0.30844 0.01914
3195.5999999999704 0.36863 0.02055
3196.1999999999703 0.35721 0.02701
3196.79999999997 0.34833 0.01330
3197.39999999997 0.34863 0.01948
3197.99999999997 0.38234 0.01864
3198.59999999997 0.34797 0.01698
3199.19999999997 0.38679 0.02026
3199.7999999999697 0.39367 0.01210
3200.3999999999696 0.36143 0.01481
3200.9999999999695 0.36179 0.01287
3201.5999999999694 0.38239 0.01662
3202.1999999999694 0.37756 0.01244
3202.7999999999693 0.41197 0.01623
3203.399999999969 0.40199 0.01392
3203.999999999969 0.36891 0.01170
3204.599999999969 0.37368 0.01502
3205.199999999969 0.39249 0.01727
3205.799999999969 0.41045 0.01107
3206.3999999999687 0.39044 0.01504
3206.9999999999686 0.38633 0.00923
3207.5999999999685 0.35778 0.01844
3208.1999999999684 0.36685 0.01130
3208.7999999999683 0.37577 0.00976
3209.3999999999683 0.35331 0.02004
3209.999999999968 0.34701 0.01757
3210.599999999968 0.30376 0.01702
3211.199999999968 0.34016 0.01515
3211.799999999968 0.35813 0.01465
3212.399999999968 0.30509 0.01603
3212.9999999999677 0.30583 0.01245
3213.5999999999676 0.29904 0.01284
3214.1999999999675 0.32157 0.01058
3214.7999999999674 0.33664 0.01700
3215.3999999999673 0.31731 0.01457
3215.9999999999673 0.33244 0.01374
3216.599999999967 0.36819 0.01147
3217.199999999967 0.35859 0.01760
